timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,
1.65547E+12,177,Login,200,OK,Workers 1-19,text,TRUE,,3193,790,24,250,http://localhost/login,177,0,0,,,273.4666667
1.65547E+12,535,Login,200,OK,Workers 1-9,text,TRUE,,3192,804,25,256,http://localhost/login,534,0,0,,,
1.65547E+12,167,Login,200,OK,Workers 1-21,text,TRUE,,3192,830,25,263,http://localhost/login,167,0,1,,,
1.65547E+12,413,Login,200,OK,Workers 1-15,text,TRUE,,3194,835,27,268,http://localhost/login,413,0,1,,,
1.65547E+12,622,Login,200,OK,Workers 1-10,text,TRUE,,3193,834,28,274,http://localhost/login,622,0,0,,,
1.65547E+12,394,Login,200,OK,Workers 1-17,text,TRUE,,3193,825,28,277,http://localhost/login,394,0,0,,,
1.65547E+12,226,Login,200,OK,Workers 1-23,text,TRUE,,3195,785,29,281,http://localhost/login,226,0,0,,,
1.65547E+12,758,Login,200,OK,Workers 1-7,text,TRUE,,3191,819,29,281,http://localhost/login,758,0,0,,,
1.65547E+12,635,Login,200,OK,Workers 1-11,text,TRUE,,3194,830,30,281,http://localhost/login,635,0,1,,,
1.65547E+12,884,Login,200,OK,Workers 1-4,text,TRUE,,3192,809,30,281,http://localhost/login,884,0,0,,,
1.65547E+12,633,Login,200,OK,Workers 1-12,text,TRUE,,3195,810,30,280,http://localhost/login,633,0,1,,,
1.65547E+12,301,Login,200,OK,Workers 1-22,text,TRUE,,3195,790,30,279,http://localhost/login,301,0,1,,,
1.65547E+12,781,Login,200,OK,Workers 1-8,text,TRUE,,3191,829,30,276,http://localhost/login,781,0,0,,,
1.65547E+12,1086,Login,200,OK,Workers 1-1,text,TRUE,,3191,799,30,218,http://localhost/login,1086,0,1,,,
1.65547E+12,1053,Login,200,OK,Workers 1-2,text,TRUE,,3192,824,30,218,http://localhost/login,1052,0,2,,,
1.65547E+12,535,Login,200,OK,Workers 1-18,text,TRUE,,3195,795,30,218,http://localhost/login,535,0,1,,,
1.65547E+12,617,Login,200,OK,Workers 1-16,text,TRUE,,3193,790,30,206,http://localhost/login,617,0,1,,,
1.65547E+12,987,Login,200,OK,Workers 1-6,text,TRUE,,3193,834,30,168,http://localhost/login,987,0,1,,,
1.65547E+12,771,Login,200,OK,Workers 1-13,text,TRUE,,3194,790,30,140,http://localhost/login,771,0,0,,,
1.65547E+12,352,Appoint manger,200,OK,Workers 1-21,text,TRUE,,5380,981,30,128,http://localhost/appointOrDeleteManager,352,0,1,,,
1.65547E+12,560,Login,200,OK,Workers 1-20,text,TRUE,,3193,825,30,118,http://localhost/login,560,0,1,,,
1.65547E+12,209,Appoint manger,200,OK,Workers 1-12,text,TRUE,,5380,1011,30,107,http://localhost/appointOrDeleteManager,209,0,1,,,
1.65547E+12,1163,Login,200,OK,Workers 1-3,text,TRUE,,3192,829,30,87,http://localhost/login,1163,0,1,,,
1.65547E+12,829,Login,200,OK,Workers 1-14,text,TRUE,,3195,820,30,72,http://localhost/login,829,0,0,,,
1.65547E+12,1142,Login,200,OK,Workers 1-5,text,TRUE,,3190,789,30,66,http://localhost/login,1142,0,1,,,
1.65547E+12,371,Appoint manger,200,OK,Workers 1-7,text,TRUE,,5379,1010,30,47,http://localhost/appointOrDeleteManager,371,0,1,,,
1.65547E+12,498,Login,200,OK,Workers 1-26,text,TRUE,,3193,795,30,46,http://localhost/login,498,0,1,,,
1.65547E+12,615,Login,200,OK,Workers 1-24,text,TRUE,,3195,800,30,31,http://localhost/login,615,0,0,,,
1.65547E+12,528,Appoint manger,200,OK,Workers 1-15,text,TRUE,,5380,1005,30,30,http://localhost/appointOrDeleteManager,528,0,0,,,
1.65547E+12,635,Login,200,OK,Workers 1-25,text,TRUE,,3194,820,30,30,http://localhost/login,635,0,1,,,
1.65547E+12,660,Appoint manger,200,OK,Workers 1-19,text,TRUE,,5381,1017,30,30,http://localhost/appointOrDeleteManager,660,0,1,,,
1.65547E+12,571,Login,200,OK,Workers 1-27,text,TRUE,,3193,820,30,30,http://localhost/login,571,0,1,,,
1.65547E+12,229,Update Product,200,OK,Workers 1-12,text,TRUE,,4214,1688,30,30,http://localhost/updateProductInStore,228,0,1,,,
1.65547E+12,635,Appoint manger,200,OK,Workers 1-9,text,TRUE,,5378,986,30,30,http://localhost/appointOrDeleteManager,635,0,0,,,
1.65547E+12,507,Appoint manger,200,OK,Workers 1-23,text,TRUE,,5380,999,30,30,http://localhost/appointOrDeleteManager,507,0,0,,,
1.65547E+12,545,Appoint manger,200,OK,Workers 1-10,text,TRUE,,5379,1040,30,30,http://localhost/appointOrDeleteManager,545,0,2,,,
1.65547E+12,538,Login,200,OK,Workers 1-29,text,TRUE,,3194,790,30,30,http://localhost/login,538,0,1,,,
1.65547E+12,573,Login,200,OK,Workers 1-28,text,TRUE,,3194,825,30,30,http://localhost/login,573,0,1,,,
1.65547E+12,545,Appoint manger,200,OK,Workers 1-17,text,TRUE,,5380,1035,30,30,http://localhost/appointOrDeleteManager,545,0,1,,,
1.65547E+12,517,Appoint manger,200,OK,Workers 1-11,text,TRUE,,5380,993,30,30,http://localhost/appointOrDeleteManager,517,0,1,,,
1.65547E+12,518,Login,200,OK,Workers 1-30,text,TRUE,,3193,790,30,30,http://localhost/login,518,0,1,,,
1.65547E+12,15,Update Product,200,OK,Workers 1-17,text,TRUE,,4215,1758,30,30,http://localhost/updateProductInStore,15,0,1,,,
1.65547E+12,483,Appoint manger,200,OK,Workers 1-8,text,TRUE,,5378,1028,30,30,http://localhost/appointOrDeleteManager,482,0,1,,,
1.65547E+12,336,Appoint manger,200,OK,Workers 1-13,text,TRUE,,5381,993,30,30,http://localhost/appointOrDeleteManager,336,0,1,,,
1.65547E+12,325,Appoint manger,200,OK,Workers 1-20,text,TRUE,,5380,1005,30,30,http://localhost/appointOrDeleteManager,325,0,1,,,
1.65547E+12,18,Update Product,200,OK,Workers 1-13,text,TRUE,,4213,1698,30,30,http://localhost/updateProductInStore,18,0,0,,,
1.65547E+12,541,Appoint manger,200,OK,Workers 1-4,text,TRUE,,5379,1016,30,30,http://localhost/appointOrDeleteManager,541,0,1,,,
1.65547E+12,414,Appoint manger,200,OK,Workers 1-16,text,TRUE,,5380,1011,30,30,http://localhost/appointOrDeleteManager,414,0,0,,,
1.65547E+12,380,Appoint manger,200,OK,Workers 1-6,text,TRUE,,5380,1004,30,30,http://localhost/appointOrDeleteManager,380,0,1,,,
1.65547E+12,51,Update Product,200,OK,Workers 1-11,text,TRUE,,4214,1708,30,30,http://localhost/updateProductInStore,51,0,0,,,
1.65547E+12,536,Appoint manger,200,OK,Workers 1-22,text,TRUE,,5379,993,30,30,http://localhost/appointOrDeleteManager,536,0,1,,,
1.65547E+12,441,Appoint manger,200,OK,Workers 1-18,text,TRUE,,5379,993,30,30,http://localhost/appointOrDeleteManager,441,0,1,,,
1.65547E+12,30,logout,200,OK,Workers 1-13,text,TRUE,,2377,473,30,30,http://localhost/logout,30,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-13,text,TRUE,,485,0,30,30,null,0,0,0,,,
1.65547E+12,32,Update Product,200,OK,Workers 1-16,text,TRUE,,4214,1728,29,29,http://localhost/updateProductInStore,32,0,1,,,
1.65547E+12,32,Update Product,200,OK,Workers 1-6,text,TRUE,,4212,1717,29,29,http://localhost/updateProductInStore,32,0,1,,,
1.65547E+12,85,logout,200,OK,Workers 1-17,text,TRUE,,2376,470,29,29,http://localhost/logout,84,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-17,text,TRUE,,485,0,29,29,null,0,0,0,,,
1.65547E+12,33,Update Product,200,OK,Workers 1-18,text,TRUE,,4213,1658,29,29,http://localhost/updateProductInStore,33,0,0,,,
1.65547E+12,120,Update Product,200,OK,Workers 1-10,text,TRUE,,4213,1747,28,28,http://localhost/updateProductInStore,120,0,1,,,
1.65547E+12,495,Appoint manger,200,OK,Workers 1-2,text,TRUE,,5379,998,28,28,http://localhost/appointOrDeleteManager,495,0,0,,,
1.65547E+12,116,Appoint manger,200,OK,Workers 1-28,text,TRUE,,5380,999,28,28,http://localhost/appointOrDeleteManager,116,0,1,,,
1.65547E+12,102,Appoint manger,200,OK,Workers 1-30,text,TRUE,,5381,993,28,28,http://localhost/appointOrDeleteManager,102,0,1,,,
1.65547E+12,72,Update Product,200,OK,Workers 1-22,text,TRUE,,4215,1708,28,28,http://localhost/updateProductInStore,72,0,1,,,
1.65547E+12,155,Update Product,200,OK,Workers 1-23,text,TRUE,,4215,1748,28,28,http://localhost/updateProductInStore,154,0,1,,,
1.65547E+12,363,Appoint manger,200,OK,Workers 1-14,text,TRUE,,5379,981,28,28,http://localhost/appointOrDeleteManager,363,0,1,,,
1.65547E+12,365,Appoint manger,200,OK,Workers 1-5,text,TRUE,,5380,980,28,28,http://localhost/appointOrDeleteManager,364,0,1,,,
1.65547E+12,319,Update Product,200,OK,Workers 1-7,text,TRUE,,4214,1737,28,28,http://localhost/updateProductInStore,319,0,1,,,
1.65547E+12,16,logout,200,OK,Workers 1-7,text,TRUE,,2376,449,28,28,http://localhost/logout,14,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-7,text,TRUE,,482,0,28,28,null,0,0,0,,,
1.65547E+12,333,Appoint manger,200,OK,Workers 1-26,text,TRUE,,5379,1011,27,27,http://localhost/appointOrDeleteManager,333,0,0,,,
1.65547E+12,12,Update Product,200,OK,Workers 1-26,text,TRUE,,4215,1758,27,27,http://localhost/updateProductInStore,12,0,1,,,
1.65547E+12,311,Appoint manger,200,OK,Workers 1-24,text,TRUE,,5381,1035,27,27,http://localhost/appointOrDeleteManager,311,0,1,,,
1.65547E+12,260,Update Product,200,OK,Workers 1-19,text,TRUE,,4213,1658,27,27,http://localhost/updateProductInStore,258,0,0,,,
1.65547E+12,261,Appoint manger,200,OK,Workers 1-27,text,TRUE,,5379,981,27,27,http://localhost/appointOrDeleteManager,261,0,0,,,
1.65547E+12,29,logout,200,OK,Workers 1-26,text,TRUE,,2376,449,27,27,http://localhost/logout,29,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-26,text,TRUE,,485,0,27,27,null,0,0,0,,,
1.65547E+12,534,Update Product,200,OK,Workers 1-21,text,TRUE,,4212,1748,26,26,http://localhost/updateProductInStore,534,0,1,,,
1.65547E+12,487,Appoint manger,200,OK,Workers 1-3,text,TRUE,,5379,998,26,26,http://localhost/appointOrDeleteManager,487,0,0,,,
1.65547E+12,317,Appoint manger,200,OK,Workers 1-25,text,TRUE,,5379,1011,26,26,http://localhost/appointOrDeleteManager,316,0,0,,,
1.65547E+12,315,Update Product,200,OK,Workers 1-9,text,TRUE,,4213,1727,26,26,http://localhost/updateProductInStore,315,0,1,,,
1.65547E+12,331,logout,200,OK,Workers 1-12,text,TRUE,,2376,473,26,26,http://localhost/logout,331,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-12,text,TRUE,,485,0,26,26,null,0,0,0,,,
1.65547E+12,130,Update Product,200,OK,Workers 1-5,text,TRUE,,4212,1667,25,25,http://localhost/updateProductInStore,130,0,0,,,
1.65547E+12,169,logout,200,OK,Workers 1-22,text,TRUE,,2377,473,25,25,http://localhost/logout,169,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-22,text,TRUE,,485,0,25,25,null,0,0,0,,,
1.65547E+12,249,logout,200,OK,Workers 1-11,text,TRUE,,2376,476,24,24,http://localhost/logout,249,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-11,text,TRUE,,484,0,24,24,null,0,0,0,,,
1.65547E+12,304,Update Product,200,OK,Workers 1-8,text,TRUE,,4212,1717,23,23,http://localhost/updateProductInStore,304,0,1,,,
1.65547E+12,242,logout,200,OK,Workers 1-16,text,TRUE,,2375,461,23,23,http://localhost/logout,242,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-16,text,TRUE,,485,0,23,23,null,0,0,0,,,
1.65547E+12,334,Appoint manger,200,OK,Workers 1-29,text,TRUE,,5380,1011,22,22,http://localhost/appointOrDeleteManager,333,0,0,,,
1.65547E+12,279,Update Product,200,OK,Workers 1-4,text,TRUE,,4213,1757,22,22,http://localhost/updateProductInStore,279,0,0,,,
1.65547E+12,722,Appoint manger,200,OK,Workers 1-1,text,TRUE,,5379,1004,22,22,http://localhost/appointOrDeleteManager,721,0,1,,,
1.65547E+12,246,logout,200,OK,Workers 1-6,text,TRUE,,2375,458,22,22,http://localhost/logout,246,0,1,,,
1.65547E+12,1,Debug Sampler,200,OK,Workers 1-6,text,TRUE,,482,0,22,22,null,0,0,0,,,
1.65547E+12,227,logout,200,OK,Workers 1-10,text,TRUE,,2377,470,21,21,http://localhost/logout,227,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-10,text,TRUE,,483,0,21,21,null,0,0,0,,,
1.65547E+12,228,Update Product,200,OK,Workers 1-2,text,TRUE,,4214,1757,20,20,http://localhost/updateProductInStore,228,0,0,,,
1.65547E+12,226,Update Product,200,OK,Workers 1-30,text,TRUE,,4213,1728,20,20,http://localhost/updateProductInStore,226,0,1,,,
1.65547E+12,241,logout,200,OK,Workers 1-18,text,TRUE,,2376,449,20,20,http://localhost/logout,241,0,2,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-18,text,TRUE,,485,0,20,20,null,0,0,0,,,
1.65547E+12,216,logout,200,OK,Workers 1-23,text,TRUE,,2376,458,19,19,http://localhost/logout,216,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-23,text,TRUE,,485,0,19,19,null,0,0,0,,,
1.65547E+12,89,Update Product,200,OK,Workers 1-25,text,TRUE,,4214,1738,18,18,http://localhost/updateProductInStore,89,0,0,,,
1.65547E+12,92,logout,200,OK,Workers 1-9,text,TRUE,,2377,476,18,18,http://localhost/logout,92,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-9,text,TRUE,,482,0,18,18,null,0,0,0,,,
1.65547E+12,452,Update Product,200,OK,Workers 1-15,text,TRUE,,4215,1688,17,17,http://localhost/updateProductInStore,452,0,1,,,
1.65547E+12,170,Update Product,200,OK,Workers 1-24,text,TRUE,,4215,1658,17,17,http://localhost/updateProductInStore,170,0,1,,,
1.65547E+12,169,logout,200,OK,Workers 1-19,text,TRUE,,2376,458,17,17,http://localhost/logout,169,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-19,text,TRUE,,485,0,17,17,null,0,0,0,,,
1.65547E+12,159,logout,200,OK,Workers 1-21,text,TRUE,,2375,455,16,16,http://localhost/logout,158,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-21,text,TRUE,,485,0,16,16,null,0,0,0,,,
1.65547E+12,163,Update Product,200,OK,Workers 1-3,text,TRUE,,4213,1757,15,15,http://localhost/updateProductInStore,162,0,0,,,
1.65547E+12,260,Update Product,200,OK,Workers 1-14,text,TRUE,,4214,1708,15,15,http://localhost/updateProductInStore,260,0,1,,,
1.65547E+12,301,Update Product,200,OK,Workers 1-28,text,TRUE,,4215,1658,15,15,http://localhost/updateProductInStore,301,0,1,,,
1.65547E+12,11,logout,200,OK,Workers 1-3,text,TRUE,,2376,473,15,15,http://localhost/logout,10,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-3,text,TRUE,,482,0,15,15,null,0,0,0,,,
1.65547E+12,56,logout,200,OK,Workers 1-25,text,TRUE,,2376,464,14,14,http://localhost/logout,56,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-25,text,TRUE,,485,0,14,14,null,0,0,0,,,
1.65547E+12,86,Update Product,200,OK,Workers 1-1,text,TRUE,,4213,1687,13,13,http://localhost/updateProductInStore,86,0,0,,,
1.65547E+12,98,logout,200,OK,Workers 1-30,text,TRUE,,2376,470,13,13,http://localhost/logout,98,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-30,text,TRUE,,485,0,13,13,null,0,0,0,,,
1.65547E+12,108,logout,200,OK,Workers 1-4,text,TRUE,,2376,455,12,12,http://localhost/logout,107,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-4,text,TRUE,,482,0,12,12,null,0,0,0,,,
1.65547E+12,114,logout,200,OK,Workers 1-8,text,TRUE,,2376,455,11,11,http://localhost/logout,114,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-8,text,TRUE,,482,0,11,11,null,0,0,0,,,
1.65547E+12,108,logout,200,OK,Workers 1-2,text,TRUE,,2377,452,10,10,http://localhost/logout,108,0,0,,,
1.65547E+12,37,logout,200,OK,Workers 1-14,text,TRUE,,2376,467,10,10,http://localhost/logout,37,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-14,text,TRUE,,485,0,10,10,null,0,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-2,text,TRUE,,482,0,10,10,null,0,0,0,,,
1.65547E+12,38,logout,200,OK,Workers 1-1,text,TRUE,,2375,470,8,8,http://localhost/logout,38,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-1,text,TRUE,,482,0,8,8,null,0,0,0,,,
1.65547E+12,74,logout,200,OK,Workers 1-24,text,TRUE,,2376,476,7,7,http://localhost/logout,74,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-24,text,TRUE,,485,0,7,7,null,0,0,0,,,
1.65547E+12,82,logout,200,OK,Workers 1-15,text,TRUE,,2376,470,6,6,http://localhost/logout,82,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-15,text,TRUE,,485,0,6,6,null,0,0,0,,,
1.65547E+12,52,logout,200,OK,Workers 1-28,text,TRUE,,2375,467,5,5,http://localhost/logout,52,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-28,text,TRUE,,485,0,5,5,null,0,0,0,,,
1.65547E+12,246,Update Product,200,OK,Workers 1-27,text,TRUE,,4215,1658,4,4,http://localhost/updateProductInStore,246,0,1,,,
1.65547E+12,10,logout,200,OK,Workers 1-27,text,TRUE,,2376,467,4,4,http://localhost/logout,10,0,0,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-27,text,TRUE,,485,0,4,4,null,0,0,0,,,
1.65547E+12,149,Update Product,200,OK,Workers 1-29,text,TRUE,,4214,1668,3,3,http://localhost/updateProductInStore,149,0,0,,,
1.65547E+12,439,Update Product,200,OK,Workers 1-20,text,TRUE,,4215,1668,3,3,http://localhost/updateProductInStore,439,0,0,,,
1.65547E+12,11,logout,200,OK,Workers 1-29,text,TRUE,,2377,467,3,3,http://localhost/logout,11,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-29,text,TRUE,,485,0,3,3,null,0,0,0,,,
1.65547E+12,31,logout,200,OK,Workers 1-20,text,TRUE,,2375,464,2,2,http://localhost/logout,31,0,1,,,
1.65547E+12,0,Debug Sampler,200,OK,Workers 1-20,text,TRUE,,484,0,2,2,null,0,0,0,,,
1.65547E+12,240,logout,200,OK,Workers 1-5,text,TRUE,,2376,479,1,1,http://localhost/logout,240,0,1,,,
1.65547E+12,1,Debug Sampler,200,OK,Workers 1-5,text,TRUE,,482,0,1,1,null,0,0,0,,,
